mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,2.0,1.0,2.0,1.0,3.0,5.0;4.0;6.0
Avg,,1.75,1.0,2.0,0.25,3.5,3.75;6.0;4.0;3.75;6.0;4.0;4.0;4.0;5.0;4.0;6.0
mdd-ls-xp-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,1.0,1.0,1.0,0.5,5.5
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,1.0,1.0,1.5,0.5,2.25,2.5;5.0
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,1.0,1.0,2.0,0.5,3.0,5.0;4.0;4.0;4.0;4.0;6.0
4,lsxp-QingGongYan-FaDongWu.xml,1.0,1.0,2.0,0.5,3.25,6.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,1.0,1.0,2.0,0.5,3.0,4.0
6,lsxp-WoBenShi-KongChengJi-1.xml,0.75,0.5,1.0,0.25,1.5,2.0
7,lsxp-WoBenShi-KongChengJi-2.xml,0.5,0.5,1.0,0.5,1.0,2.0;2.25
8,lsxp-YiShiWu-YuCangJian.xml,1.0,1.0,1.5,0.5,2.0,2.5;5.5;2.5;4.75;7.5;3.0
9,lsxp-ZiCongQian-ZhuLianZhai.xml,1.0,1.0,1.5,0.5,2.0,3.0;7.25;2.5;3.0;2.75;2.5;5.0;4.0
10,lsxp-ZiGuDao-HuangHeLou.xml,1.0,1.0,1.0,0.5,4.0
Avg,,1.0,1.0,1.5,0.25,2.25,5.5;3.0;4.75;3.0;3.5;2.5;5.0;5.0;3.0;4.0;4.0;4.0;4.0;2.5;6.0;2.5;3.25;3.0;3.0;6.0;3.0;3.0;2.5;3.0;2.5;4.0;2.5;5.5;2.5;4.75;7.5;3.0;3.0;7.25;2.5;3.0;2.75;2.5;5.0;4.0;2.5;2.5;2.5;3.0;4.0
mdd-ls-xp-yb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,1.0,1.0,1.0,0.5,5.5
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,1.0,0.75,1.0,0.5,1.25,2.0;2.25;1.5;1.5
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,1.0,0.5,1.375,0.5,2.0,5.0;4.0;4.0
4,lsxp-QingGongYan-FaDongWu.xml,1.0,1.0,1.75,0.5,2.0,3.25;3.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,1.25,1.0,2.375,0.5,3.0
6,lsxp-YiShiWu-YuCangJian.xml,1.0,1.0,1.25,1.0,1.5,0.5;0.5;0.5;0.5;0.5;0.5;0.5;2.0;2.5;5.5;2.0;4.75;2.0;7.5;3.0
7,lsxp-ZiCongQian-ZhuLianZhai.xml,1.0,1.0,1.75,0.5,2.5,7.25;3.0;5.0
8,lsxp-ZiGuDao-HuangHeLou.xml,1.0,1.0,1.0,0.5,3.0
Avg,,1.0,1.0,1.5,0.5,2.25,5.5;4.75;5.0;4.0;4.0;3.25;3.0;3.0;3.0;2.5;3.0;2.5;5.5;4.75;7.5;3.0;7.25;2.5;3.0;2.5;5.0;3.0
mdd-ls-xp-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,1.0,0.875,1.375,0.5,1.75,3.0;3.0;3.5
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,1.0,1.0,2.0,0.5,2.5,5.0
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,1.0,1.0,2.0,0.5,3.0,4.0;4.0;6.0
4,lsxp-QingGongYan-FaDongWu.xml,1.0,1.0,2.0,0.5,3.0,6.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,1.0,1.0,2.0,0.5,2.5,4.0
6,lsxp-WoBenShi-KongChengJi-1.xml,0.75,0.5,1.0,0.25,1.5,2.0
7,lsxp-WoBenShi-KongChengJi-2.xml,0.5,0.5,1.0,0.5,1.0,2.0;2.25
8,lsxp-YiShiWu-YuCangJian.xml,1.0,1.0,1.5,0.5,2.0,2.5
9,lsxp-ZiCongQian-ZhuLianZhai.xml,1.0,0.5,1.0,0.5,1.5,3.0;2.0;2.75;2.0;4.0
10,lsxp-ZiGuDao-HuangHeLou.xml,1.0,1.0,1.5,0.5,2.0,2.5;2.5;2.5;4.0
